연번,시,구,동,관리번호,지번주소,도로명주소,설치일자,카메라대수,위도,경도,데이터기준일자,weight
"2778",경기도 성남시,분당구,백현동,분당백현-A-68,백현동 533,,2019-10,"5","37.394053 ","127.111100 ",2025-11-12,0.70
"2779",경기도 성남시,분당구,백현동,분당백현-A-69,백현동 540-1,,2019-10,"5","37.393711 ","127.111450 ",2025-11-12,0.70
"2780",경기도 성남시,분당구,백현동,분당백현-A-70,백현동 540-1,,2019-10,"5","37.392954 ","127.111285 ",2025-11-12,0.70
"2781",경기도 성남시,분당구,백현동,분당백현-A-71,백현동 540-1,,2019-10,"5","37.391928 ","127.111147 ",2025-11-12,0.70
"2782",경기도 성남시,분당구,백현동,분당백현-A-72,백현동 544번지,,2019-12,"4","37.393470 ","127.118260 ",2025-11-12,0.70
"2783",경기도 성남시,분당구,백현동,분당백현-A-73,백현동 525번지,,2019-12,"6","37.386080 ","127.108470 ",2025-11-12,0.70
"2784",경기도 성남시,분당구,백현동,분당백현-A-74,백현동 544-1번지,,2020-10,"2","37.394997 ","127.118150 ",2025-11-12,0.70
"2785",경기도 성남시,분당구,백현동,분당백현-A-75,백현동 549-1,,2020-12,"5","37.388805 ","127.115451 ",2025-11-12,0.70
"2786",경기도 성남시,분당구,백현동,분당백현-A-76,백현동 399-3,,2020-12,"5","37.378113 ","127.100431 ",2025-11-12,0.70
"2787",경기도 성남시,분당구,백현동,분당백현-A-77,백현동 516-19(102동 근처),,2021-05,"1","37.383100 ","127.092890 ",2025-11-12,0.70
"2788",경기도 성남시,분당구,백현동,분당백현-A-78,백현동 516-21(105동 근처),,2021-05,"1","37.382579 ","127.096268 ",2025-11-12,0.70
"2789",경기도 성남시,분당구,백현동,분당백현-A-79,백현동 516-21(115동 근처),,2021-05,"1","37.384569 ","127.094497 ",2025-11-12,0.70
"2790",경기도 성남시,분당구,백현동,분당백현-A-80,백현동 516-21(113동 근처 공원),,2021-05,"1","37.384569 ","127.094497 ",2025-11-12,0.70
"2791",경기도 성남시,분당구,백현동,분당백현-A-81,백현동 516-21(112동 근처),,2021-05,"1","37.384322 ","127.094197 ",2025-11-12,0.70
"2792",경기도 성남시,분당구,백현동,분당백현-A-82,백현동 516-21(111동 근처),,2021-05,"1","37.384459 ","127.093500 ",2025-11-12,0.70
"2793",경기도 성남시,분당구,백현동,분당백현-A-83,백현동 556-2,,2021-06,"5","37.388019 ","127.111002 ",2025-11-12,0.70
"2794",경기도 성남시,분당구,백현동,분당백현-A-84,백현동 554-3번지,,2021-06,"5","37.388741 ","127.111215 ",2025-11-12,0.70
"2795",경기도 성남시,분당구,백현동,분당백현-A-85,백현동 500-36,,2022-05,"4","37.383704 ","127.090413 ",2025-11-12,0.70
"2796",경기도 성남시,분당구,백현동,분당백현-A-86,백현동 519-3,,2022-10,"5","37.392449 ","127.103410 ",2025-11-12,0.70
"2797",경기도 성남시,분당구,백현동,분당백현-A-87,백현동 585-7,하오개로391번길 7-4 (운중동),2023-08,"4","37.384560 ","127.113998 ",2025-11-12,0.70
"2798",경기도 성남시,분당구,백현동,분당백현-A-88,백현동 545-3,,2023-08,"4","37.391959 ","127.119926 ",2025-11-12,0.70
